Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_MRP_Categories
FDN08,7.72,Regular,0.147904328,Food,116.6466,OUT010,1998,Small,Tier 3,Grocery Store,117.8466,101-150
NCJ42,19.75,Non_Edible,0.014301326,Non_Consumable,103.0332,OUT046,1997,Small,Tier 1,Supermarket Type1,1230.3984,101-150
FDY47,8.6,Regular,0.054220618,Food,129.131,OUT027,1985,Medium,Tier 3,Supermarket Type3,4933.578,101-150
FDN45,19.35,Low_Fat,0.118342285,Food,222.6088,OUT045,2002,Small,Tier 2,Supermarket Type1,1789.6704,201-250
FDY16,18.35,Regular,0.092150005,Food,184.8266,OUT013,1987,High,Tier 3,Supermarket Type1,3872.9586,151-200
FDA45,21.25,Low_Fat,0.155694794,Food,177.637,OUT045,2002,Small,Tier 2,Supermarket Type1,2999.429,151-200
FDD45,8.615,Low_Fat,0.116152226,Food,94.1436,OUT013,1987,High,Tier 3,Supermarket Type1,1512.6976,51-100
FDB47,8.8,Low_Fat,0.071369947,Food,209.1612,OUT013,1987,High,Tier 3,Supermarket Type1,2090.612,201-250
FDU36,6.15,Low_Fat,0.046262201,Food,97.8384,OUT035,2004,Small,Tier 2,Supermarket Type1,2069.3064,51-100
FDA48,12.1,Low_Fat,0.11487406,Food,221.4114,OUT046,1997,Small,Tier 1,Supermarket Type1,5099.3622,201-250
FDZ33,10.195,Low_Fat,0.107307677,Food,149.8076,OUT013,1987,High,Tier 3,Supermarket Type1,2217.114,101-150
NCV05,10.1,Non_Edible,0.030269774,Non_Consumable,152.4656,OUT045,2002,Small,Tier 2,Supermarket Type1,2934.8464,151-200
FDX31,20.35,Regular,0.014813268,Food,234.9958,OUT013,1987,High,Tier 3,Supermarket Type1,5842.395,201-250
DRL11,10.5,Low_Fat,0.048009081,Drink,157.0946,OUT035,2004,Small,Tier 2,Supermarket Type1,2209.1244,151-200
FDU38,10.8,Low_Fat,0.083016832,Food,193.4504,OUT017,2007,Small,Tier 2,Supermarket Type1,2876.256,151-200
FDB09,16.25,Low_Fat,0.057629899,Food,123.9046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1120.5414,101-150
FDD52,18.25,Regular,0.184041545,Food,110.157,OUT018,2009,Medium,Tier 3,Supermarket Type2,1867.569,101-150
NCA05,20.75,Non_Edible,0.025272781,Non_Consumable,146.6734,OUT017,2007,Small,Tier 2,Supermarket Type1,445.4202,101-150
FDT13,14.85,Low_Fat,0.032516546,Food,188.8214,OUT019,1985,Small,Tier 1,Grocery Store,753.6856,151-200
FDC10,9.8,Regular,0.072863893,Food,118.6098,OUT035,2004,Small,Tier 2,Supermarket Type1,843.5686,101-150
NCL19,15.35,Non_Edible,0.015676231,Non_Consumable,144.047,OUT046,1997,Small,Tier 1,Supermarket Type1,286.294,101-150
FDF21,10.3,Regular,0.058918844,Food,191.653,OUT049,1999,Medium,Tier 1,Supermarket Type1,5313.084,151-200
FDV13,17.35,Regular,0.02758789,Food,86.1856,OUT013,1987,High,Tier 3,Supermarket Type1,703.0848,51-100
FDP39,12.65,Low_Fat,0.116203156,Food,53.5324,OUT010,1998,Small,Tier 3,Grocery Store,415.4592,51-100
NCQ30,7.725,Non_Edible,0.029117482,Non_Consumable,123.0414,OUT049,1999,Medium,Tier 1,Supermarket Type1,1583.9382,101-150
FDO36,19.7,Low_Fat,0.077899109,Food,177.766,OUT035,2004,Small,Tier 2,Supermarket Type1,2696.49,151-200
FDI32,17.7,Low_Fat,0.174340475,Food,116.6834,OUT035,2004,Small,Tier 2,Supermarket Type1,3570.6854,101-150
FDD26,8.71,Regular,0.120773451,Food,186.5924,OUT010,1998,Small,Tier 3,Grocery Store,555.2772,151-200
FDP49,9.0,Regular,0.069088961,Food,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,51-100
FDH16,10.5,Low_Fat,0.052300844,Food,88.283,OUT027,1985,Medium,Tier 3,Supermarket Type3,2157.192,51-100
DRF36,16.1,Low_Fat,0.023463124,Drink,190.6846,OUT027,1985,Medium,Tier 3,Supermarket Type3,9554.23,151-200
FDS43,11.65,Low_Fat,0.040744057,Food,185.924,OUT017,2007,Small,Tier 2,Supermarket Type1,4101.328,151-200
FDQ45,9.5,Regular,0.010864186,Food,185.3608,OUT027,1985,Medium,Tier 3,Supermarket Type3,5329.0632,151-200
NCI55,18.6,Non_Edible,0.012651172,Non_Consumable,123.1414,OUT035,2004,Small,Tier 2,Supermarket Type1,2314.9866,101-150
NCR29,7.565,Non_Edible,0.054863459,Non_Consumable,58.393,OUT018,2009,Medium,Tier 3,Supermarket Type2,509.337,51-100
NCO29,11.15,Non_Edible,0.032229348,Non_Consumable,163.2526,OUT013,1987,High,Tier 3,Supermarket Type1,1480.0734,151-200
FDU51,20.2,Regular,0.096495426,Food,175.6028,OUT035,2004,Small,Tier 2,Supermarket Type1,3364.9532,151-200
DRJ01,6.135,Low_Fat,0.115500999,Drink,161.1236,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,151-200
FDE29,8.905,Low_Fat,0.143712172,Food,60.2878,OUT018,2009,Medium,Tier 3,Supermarket Type2,1151.1682,51-100
DRD25,6.135,Low_Fat,0.0,Drink,114.286,OUT046,1997,Small,Tier 1,Supermarket Type1,2376.906,101-150
FDX46,12.3,Regular,0.058234621,Food,58.7562,OUT045,2002,Small,Tier 2,Supermarket Type1,592.562,51-100
